path,bugs,code_smells,reliability_rating,security_hotspots,vulnerabilities,complexity,cognitive_complexity,duplicated_lines,sqale_debt_ratio
/home/ota/metrics_analyze/repos/hanfeiwu/autoware_individual_para,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/hanfeiwu/autoware_laun,0,0,1.0,0,0,2,0,0,0.0
/home/ota/metrics_analyze/repos/hanfeiwu/leaf_sensor_kit_laun,0,1,1.0,1,0,14,7,0,0.0
/home/ota/metrics_analyze/repos/hanfeiwu/leaf_vehicle_laun,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/hanfeiwu/rslidar_s,0,1,1.0,0,0,2,0,0,0.4
/home/ota/metrics_analyze/repos/hanfeiwu/lucid_vision_driv,0,0,1.0,0,0,2,0,0,0.0
/home/ota/metrics_analyze/repos/hanfeiwu/bluespace_ai_xsens_ros_mti_driv,0,0,1.0,0,0,2,0,0,0.0
/home/ota/metrics_analyze/repos/gekidaniino001/rosba,5,14,3.0,1,0,222,243,24,0.2
/home/ota/metrics_analyze/repos/gekidaniino001/lane_width_calculat,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/gekidaniino001/aip_launch,0,7,1.0,3,0,45,12,127,0.1
/home/ota/metrics_analyze/repos/gekidaniino001/autoware_individual_para,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/gekidaniino001/awsim_labs_sensor_kit_laun,0,6,1.0,0,0,11,3,0,0.3
/home/ota/metrics_analyze/repos/gekidaniino001/sample_vehicle_laun,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/gekidaniino001/autoware_adapi_ms,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/gekidaniino001/autoware_laun,0,1,1.0,0,0,2,0,0,0.0
/home/ota/metrics_analyze/repos/gekidaniino001/tamagawa_imu_driv,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/gekidaniino001/ndt_o,0,0,1.0,16,0,,,0,0.0
/home/ota/metrics_analyze/repos/gekidaniino001/nebu,0,6,1.0,3,0,95,106,0,0.1
/home/ota/metrics_analyze/repos/gekidaniino001/tier4_ad_api_adapt,0,1,1.0,0,0,5,0,0,0.2
/home/ota/metrics_analyze/repos/gekidaniino001/gl,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/gekidaniino001/autoware_comm,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/gekidaniino001/muS,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/gekidaniino001/autoware.co,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/gekidaniino001/sample_sensor_kit_laun,0,10,1.0,1,0,13,5,0,0.1
/home/ota/metrics_analyze/repos/gekidaniino001/autoware_ms,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/gekidaniino001/MORAI-ROS2_morai_ms,0,2,1.0,0,0,,,0,1.9
/home/ota/metrics_analyze/repos/gekidaniino001/rviz_2d_overlay_plugi,0,1,1.0,0,0,0,0,0,0.3
/home/ota/metrics_analyze/repos/gekidaniino001/ament_cma,0,2,1.0,0,0,127,209,0,0.3
/home/ota/metrics_analyze/repos/gekidaniino001/hesai_pand,0,0,1.0,1,0,5,2,0,0.0
/home/ota/metrics_analyze/repos/gekidaniino001/joystick_drive,2,20,5.0,1,0,189,323,331,0.4
/home/ota/metrics_analyze/repos/gekidaniino001/sensor_component_descripti,0,1,1.0,0,0,1,0,0,0.1
/home/ota/metrics_analyze/repos/gekidaniino001/mqtt_brid,2,2,3.0,0,0,60,39,0,0.1
/home/ota/metrics_analyze/repos/gekidaniino001/pointcloud_to_lasersc,0,1,1.0,0,0,2,0,0,0.1
/home/ota/metrics_analyze/repos/gekidaniino001/transport_drive,0,0,1.0,0,0,1,0,0,0.0
/home/ota/metrics_analyze/repos/gekidaniino001/rtklib_ros_brid,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/gekidaniino001/eagle,0,49,1.0,0,0,226,325,205,0.5
/home/ota/metrics_analyze/repos/gekidaniino001/tier4_autoware_ms,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/gekidaniino001/autoware_auto_ms,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/gekidaniino001/pacmod_interfa,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/gekidaniino001/autoware.univer,6,120,4.0,11,1,829,609,1324,0.1
/home/ota/metrics_analyze/repos/gekidaniino001/llh_convert,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/gekidaniino001/awsim_sensor_kit_laun,0,5,1.0,0,0,12,4,0,0.2
/home/ota/metrics_analyze/repos/gekidaniino001/autoware_internal_ms,0,0,1.0,0,0,,,0,0.0
/home/ota/metrics_analyze/repos/Monash-Connected-Autonomous-Vehicle/SD-VehicleInterfa,0,8,1.0,2,0,,,0,1.4
